Michael Beasley,93,224
Derrick Jones Jr.,313,225
Quinn Cook,167,226
Dante Exum,195,227
Tyus Jones,263,228
Ersan Ilyasova,143,229
Maxi Kleber,255,230
Timothe Luwawu-Cabarrot,247,231
Evan Turner,192,232
Wilson Chandler,160,233
Ian Clark,213,234
JR Smith,191,235
MarShon Brooks,26,236
Shaquille Harrison,226,237
David Nwaba,199,238
Sterling Brown,281,239
Gorgui Dieng,241,240
T.J. McConnell,232,241
Sam Dekker,275,242
Tim Frazier,302,243
Jonas Jerebko,246,244
Kevon Looney,280,245
Troy Daniels,176,246
Jerryd Bayless,201,247
Nik Stauskas,261,248
Tony Snell,222,249
Meyers Leonard,292,250
Ed Davis,259,251
Juancho Hernangomez,295,252
Ivan Rabb,251,253
Tony Bradley,303,254
Marquese Chriss,206,255
Andre Iguodala,237,256
Aron Baynes,238,257
Thon Maker,266,258
Jakob Poeltl,220,259
Alex Abrines,267,260
Raul Neto,272,261
Royce O'Neale,264,262
Jalen Jones,245,263
Frank Mason,200,264
Dragan Bender,227,265
Marcin Gortat,190,266
Wes Iwundu,287,267
Luc Mbah a Moute,211,268
Anthony Tolliver,174,269
Jared Dudley,298,270
Damion Lee,148,271
Khem Birch,274,272
Courtney Lee,118,273
Johnathan Motley,180,274
Lance Thomas,278,275
Bismack Biyombo,249,276
Michael Carter-Williams,271,277
Raymond Felton,221,278
Andrew Harrison,165,279
Pau Gasol,156,280
Glenn Robinson III,277,281
Ian Mahinmi,265,282
Deyonta Davis,244,283
Cristiano Felicio,250,284
Abdel Nader,300,285
Jason Smith,291,286
Amir Johnson,269,287
Ben McLemore,209,288
Zaza Pachulia,258,289
Jon Leuer,253,290
Thabo Sefolosha,194,291
Justin Anderson,234,292
Ryan Anderson,168,293
Tyson Chandler,230,294
Demetrius Jackson,304,295
Wesley Johnson,257,296
Gary Payton II,289,297
Patrick Patterson,283,298
Alan Williams,279,299
Tyrone Wallace,163,300
Skal Labissiere,182,301
Jordan Bell,270,302
Semi Ojeleye,306,303
Milos Teodosic,111,304
Nigel Hayes,288,305
Rashad Vaughn,305,306
Malcolm Miller,308,307
Edmond Sumner,309,308
Brice Johnson,301,309
Troy Williams,212,310
Jake Layman,311,311
Charles Cooke,290,312
Chris Boucher,315,313
Nicolas Brussino,312,314
Tyler Lydon,314,315
